Epoch, TrainingAccuracy, TestAccuracy
1,0.218747,0.247773
2,0.239332,0.253177
3,0.233836,0.266987
4,0.238133,0.256079
5,0.233936,0.254378
6,0.235635,0.249775
7,0.234536,0.248374
8,0.233137,0.248474
9,0.233137,0.248874
10,0.233437,0.249475
11,0.233936,0.249375
12,0.231938,0.242470
13,0.230938,0.265686
14,0.230539,0.265686
15,0.231138,0.265986
16,0.229839,0.264985
17,0.230139,0.266386
18,0.230339,0.266787
19,0.230039,0.265986
20,0.231538,0.264785
21,0.232038,0.264285
22,0.232138,0.264285
23,0.232038,0.264785
24,0.232038,0.265186
25,0.232038,0.265086
26,0.231038,0.265186
27,0.229439,0.265486
28,0.229639,0.250675
29,0.230938,0.266186
30,0.231138,0.266186
31,0.231238,0.266487
32,0.231738,0.266286
33,0.231338,0.250976
34,0.231938,0.250876
35,0.231838,0.250876
36,0.231138,0.251376
37,0.230838,0.251476
38,0.230738,0.251776
39,0.230738,0.251676
40,0.231738,0.251976
41,0.232038,0.251976
42,0.231538,0.252277
43,0.231638,0.252277
44,0.230838,0.252076
45,0.230039,0.252277
46,0.229839,0.251976
47,0.230439,0.252777
48,0.229739,0.252777
49,0.230039,0.252877
50,0.229839,0.267687
